transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,month_name
T12210,U118,2022-01-25,Expense,Rent,20509,Bank Transfer,Bangalore,Train ticket,2022,1,January
T6904,U063,2024-09-13,Income,Bonus,62193,UPI,Chennai,Electricity bill,2024,9,September
T0713,U055,2023-08-22,Expense,Utilities,3367,Bank Transfer,Ahmedabad,Monthly rent payment,2023,8,August
T7323,U009,2024-05-13,Expense,Health,2721,UPI,Bangalore,EMI payment,2024,5,May
T10231,U089,2023-02-13,Expense,Rent,2962,UPI,Ahmedabad,Books,2023,2,February
T11570,U052,2022-09-23,Expense,Travel,8283,Card,Ahmedabad,N/A,2022,9,September
T13926,U134,2024-09-16,Expense,Utilities,3520,Cash,Mumbai,N/A,2024,9,September
T0884,U115,2024-04-07,Expense,Travel,5524,Bank Transfer,Hyderabad,Fixed deposit,2024,4,April
T8492,U101,2024-11-14,Expense,Entertainment,1800,Bank Transfer,Ahmedabad,Internet bill,2024,11,November
T4699,U090,2023-08-07,Income,Investment,32146,Cash,Delhi,ATM withdrawal,2023,8,August
T1841,U097,2021-03-10,Income,Others,57173,Cash,Unknown,N/A,2021,3,March
T3041,U018,2021-07-11,Expense,Rent,2966,Cash,Bangalore,EMI payment,2021,7,July
T7693,U116,2024-08-31,Expense,Entertainment,1004,Bank Transfer,Kolkata,N/A,2024,8,August
T0071,U078,2024-04-26,Expense,Rent,6141,Cash,Pune,N/A,2024,4,April
T12197,U026,2022-04-18,Expense,Travel,9154,Card,Delhi,N/A,2022,4,April
T6626,U049,2022-08-14,Expense,Food,2637,Cash,Jaipur,Fixed deposit,2022,8,August
T7302,U102,2024-09-19,Expense,Food,1073,Card,Lucknow,N/A,2024,9,September
T3552,U095,2024-01-21,Income,Bonus,34145,Bank Transfer,Hyderabad,N/A,2024,1,January
T1620,U040,2024-08-30,Expense,Utilities,527,Cash,Mumbai,N/A,2024,8,August
T7912,U115,2022-06-15,Expense,Savings,5195,UPI,Lucknow,Grocery shopping,2022,6,June
T3571,U064,2024-10-05,Expense,Entertainment,3143,UPI,Chennai,Books,2024,10,October
T10957,U081,2023-08-06,Expense,Travel,2135,Cash,Lucknow,Medicine,2023,8,August
T0294,U080,2024-12-25,Expense,Food,2163,UPI,Mumbai,Doctor consultation,2024,12,December
T9414,U149,2024-06-09,Expense,Rent,42078,UPI,Kolkata,N/A,2024,6,June
T10537,U079,2023-01-08,Expense,Food,2778,UPI,Ahmedabad,N/A,2023,1,January
T1125,U105,2024-11-22,Expense,Health,3929,Card,Unknown,Shopping,2024,11,November
T8978,U103,2024-10-05,Income,Freelance,23852,Card,Lucknow,Coffee,2024,10,October
T5936,U022,2021-06-13,Expense,Unknown,6856,Unknown,Chennai,Shopping,2021,6,June
T3751,U103,2024-05-31,Income,Bonus,49639,Unknown,Hyderabad,Online course,2024,5,May
T0626,U122,2024-08-19,Expense,Education,3150,Bank Transfer,Chennai,Coffee,2024,8,August
T9500,U090,2022-06-07,Expense,Health,9408,Cash,Hyderabad,Electricity bill,2022,6,June
T1537,U056,2022-06-25,Expense,Entertainment,4114,UPI,Delhi,Fixed deposit,2022,6,June
T7093,U096,2023-03-29,Expense,Travel,9681,UPI,Delhi,Online course,2023,3,March
T1990,U121,2022-03-29,Expense,Travel,3011,Card,Kolkata,Grocery shopping,2022,3,March
T4706,U150,2024-06-13,Expense,Health,3150,UPI,Jaipur,N/A,2024,6,June
T8416,U133,2023-05-05,Income,Bonus,32789,Cash,Bangalore,Lunch,2023,5,May
T11932,U100,2023-02-10,Expense,Utilities,6704,UPI,Mumbai,Doctor consultation,2023,2,February
T10528,U071,2021-11-27,Expense,Entertainment,3121,Bank Transfer,Pune,Grocery shopping,2021,11,November
T10806,U149,2024-05-19,Expense,Food,3802,UPI,Jaipur,Petrol,2024,5,May
T10505,U099,2021-03-06,Expense,Education,544,UPI,Ahmedabad,Lunch,2021,3,March
T13682,U145,2023-03-09,Expense,Travel,9053,Unknown,Lucknow,N/A,2023,3,March
T12807,U029,2021-06-05,Income,Freelance,32381,Bank Transfer,Chennai,N/A,2021,6,June
T0409,U137,2021-02-08,Expense,Utilities,8841,Unknown,Mumbai,N/A,2021,2,February
T10784,U022,2021-04-30,Income,Investment,46219,Card,Lucknow,N/A,2021,4,April
T12395,U062,2021-04-10,Expense,Utilities,4451,Bank Transfer,Mumbai,N/A,2021,4,April
T1882,U101,2022-09-25,Expense,Education,9358,Card,Mumbai,N/A,2022,9,September
T13924,U035,2021-08-24,Expense,Rent,3569,Cash,Jaipur,Online course,2021,8,August
T13453,U110,2024-11-05,Expense,Rent,2979,Cash,Hyderabad,Medicine,2024,11,November
T13845,U066,2022-06-24,Expense,Rent,34984,UPI,Chennai,Petrol,2022,6,June
T11381,U107,2024-05-12,Income,Investment,44031,Bank Transfer,Hyderabad,Online course,2024,5,May
T5758,U049,2023-04-08,Expense,Rent,21771,UPI,Chennai,N/A,2023,4,April
T8889,U131,2021-07-01,Expense,Savings,8861,Bank Transfer,Pune,N/A,2021,7,July
T10327,U136,2022-05-25,Expense,Health,4201,Bank Transfer,Kolkata,Online course,2022,5,May
T4967,U113,2022-02-17,Expense,Rent,47473,Bank Transfer,Hyderabad,Online course,2022,2,February
T11849,U040,2021-12-06,Income,Investment,75822,Cash,Mumbai,Medicine,2021,12,December
T5167,U014,2021-10-26,Expense,Food,677,Bank Transfer,Mumbai,Medicine,2021,10,October
T3952,U120,2024-08-26,Expense,Rent,43252,Cash,Delhi,N/A,2024,8,August
T5844,U086,2021-04-24,Expense,Food,2615,Card,Lucknow,ATM withdrawal,2021,4,April
T13040,U009,2024-04-06,Expense,Food,2855,UPI,Bangalore,N/A,2024,4,April
T3167,U145,2021-11-28,Income,Bonus,57358,Cash,Delhi,N/A,2021,11,November
T8867,U105,2022-11-14,Expense,Unknown,6348,Card,Mumbai,Medicine,2022,11,November
T5926,U016,2024-07-13,Expense,Rent,4583,Bank Transfer,Unknown,Lunch,2024,7,July
T13662,U129,2021-10-18,Expense,Others,4952,Cash,Hyderabad,ATM withdrawal,2021,10,October
T13593,U018,2024-11-03,Expense,Others,3941,Bank Transfer,Mumbai,Lunch,2024,11,November
T12216,U116,2023-04-21,Income,Others,47262,Bank Transfer,Kolkata,N/A,2023,4,April
T8335,U001,2021-06-19,Expense,Entertainment,1998,UPI,Lucknow,Internet bill,2021,6,June
T4933,U018,2021-03-17,Expense,Food,8124,Unknown,Pune,Coffee,2021,3,March
T7036,U105,2021-12-01,Expense,Travel,1326,Card,Unknown,N/A,2021,12,December
T9072,U066,2024-09-26,Expense,Savings,4328,UPI,Mumbai,Medicine,2024,9,September
T8270,U081,2023-04-04,Expense,Food,276,Bank Transfer,Pune,Restaurant dinner,2023,4,April
T12265,U094,2022-04-02,Expense,Utilities,4215,Card,Hyderabad,ATM withdrawal,2022,4,April
T4637,U005,2023-11-04,Expense,Utilities,6316,UPI,Pune,ATM withdrawal,2023,11,November
T9022,U089,2024-03-10,Expense,Rent,21376,UPI,Chennai,N/A,2024,3,March
T7016,U145,2021-01-09,Expense,Utilities,7391,Cash,Hyderabad,Uber ride,2021,1,January
T12109,U144,2023-05-31,Expense,Travel,2990,UPI,Mumbai,Train ticket,2023,5,May
T9952,U045,2022-12-24,Expense,Utilities,2230,Unknown,Delhi,ATM withdrawal,2022,12,December
T13401,U064,2021-09-17,Expense,Food,6197,UPI,Unknown,N/A,2021,9,September
T11100,U142,2021-05-06,Expense,Food,6502,Card,Jaipur,Shopping,2021,5,May
T4072,U067,2021-11-07,Expense,Unknown,6902,Card,Delhi,Petrol,2021,11,November
T9115,U060,2022-04-21,Expense,Entertainment,9939,Bank Transfer,Pune,N/A,2022,4,April
T2668,U126,2022-12-30,Expense,Rent,1518,Bank Transfer,Lucknow,Electricity bill,2022,12,December
T1256,U035,2021-03-06,Expense,Travel,2985,Cash,Delhi,Restaurant dinner,2021,3,March
T7219,U002,2024-06-28,Expense,Education,3150,Bank Transfer,Ahmedabad,N/A,2024,6,June
T7845,U014,2024-12-27,Expense,Utilities,6671,UPI,Ahmedabad,Doctor consultation,2024,12,December
T4986,U124,2023-07-04,Expense,Travel,1409,UPI,Chennai,N/A,2023,7,July
T1883,U047,2024-07-20,Expense,Education,2497,Bank Transfer,Kolkata,N/A,2024,7,July
T7034,U108,2021-03-24,Expense,Utilities,6324,Card,Chennai,Gym membership,2021,3,March
T0231,U031,2023-02-08,Expense,Utilities,7080,Bank Transfer,Kolkata,N/A,2023,2,February
T2017,U090,2022-01-14,Expense,Utilities,7821,Cash,Pune,N/A,2022,1,January
T9479,U114,2021-08-14,Expense,Rent,988,UPI,Unknown,Restaurant dinner,2021,8,August
T1312,U070,2022-12-15,Income,Freelance,23504,Bank Transfer,Hyderabad,Electricity bill,2022,12,December
T0010,U017,2024-04-19,Expense,Unknown,1064,Cash,Ahmedabad,Books,2024,4,April
T11433,U083,2021-10-12,Expense,Food,2683,Cash,Delhi,N/A,2021,10,October
T4446,U017,2023-11-30,Expense,Food,5022,Cash,Hyderabad,Internet bill,2023,11,November
T2782,U093,2021-04-01,Expense,Food,7849,Unknown,Pune,Petrol,2021,4,April
T11291,U040,2024-06-10,Income,Bonus,33565,Cash,Hyderabad,Gym membership,2024,6,June
T6224,U092,2024-11-04,Income,Salary,66678,Bank Transfer,Chennai,EMI payment,2024,11,November
T4124,U119,2024-05-03,Expense,Education,6304,UPI,Pune,Fixed deposit,2024,5,May
T10115,U091,2022-02-23,Income,Freelance,50009,Bank Transfer,Pune,N/A,2022,2,February
T3531,U134,2021-07-08,Expense,Food,5811,Bank Transfer,Pune,N/A,2021,7,July
T1066,U057,2023-02-05,Expense,Entertainment,7713,UPI,Pune,Monthly rent payment,2023,2,February
T9037,U142,2022-12-19,Income,Salary,70693,Cash,Ahmedabad,N/A,2022,12,December
T12498,U012,2024-03-20,Expense,Health,2603,Cash,Kolkata,Monthly rent payment,2024,3,March
T6556,U037,2023-12-22,Expense,Food,314,Cash,Mumbai,Train ticket,2023,12,December
T4233,U089,2024-10-30,Expense,Education,9806,Bank Transfer,Chennai,Petrol,2024,10,October
T1925,U060,2023-02-04,Expense,Food,3762,Bank Transfer,Hyderabad,N/A,2023,2,February
T9678,U092,2021-03-15,Expense,Travel,9891,UPI,Unknown,Grocery shopping,2021,3,March
T3468,U143,2024-08-09,Expense,Health,6869,Card,Jaipur,N/A,2024,8,August
T7901,U028,2021-09-07,Expense,Entertainment,356,Bank Transfer,Jaipur,N/A,2021,9,September
T9324,U093,2021-10-03,Income,Others,20156,Cash,Pune,N/A,2021,10,October
T3401,U071,2021-07-10,Expense,Unknown,6766,Card,Bangalore,Gym membership,2021,7,July
T2246,U061,2021-01-04,Expense,Food,3765,Bank Transfer,Chennai,Fixed deposit,2021,1,January
T7960,U028,2021-07-25,Expense,Entertainment,4638,Card,Unknown,N/A,2021,7,July
T13793,U141,2021-09-23,Income,Freelance,11650,Cash,Hyderabad,N/A,2021,9,September
T7316,U144,2024-02-22,Expense,Utilities,5790,Unknown,Pune,N/A,2024,2,February
T4875,U076,2024-06-16,Expense,Rent,12435,UPI,Lucknow,N/A,2024,6,June
T1216,U042,2022-01-31,Income,Investment,31183,Bank Transfer,Jaipur,Shopping,2022,1,January
T11898,U035,2023-04-13,Expense,Food,775,UPI,Unknown,Monthly rent payment,2023,4,April
T12468,U043,2024-12-14,Expense,Rent,5582,UPI,Ahmedabad,Monthly rent payment,2024,12,December
T5511,U114,2024-04-20,Expense,Food,5918,Bank Transfer,Pune,N/A,2024,4,April
T5607,U093,2024-02-05,Income,Investment,73830,UPI,Pune,N/A,2024,2,February
T9770,U040,2021-02-21,Expense,Rent,23340,Card,Lucknow,Doctor consultation,2021,2,February
T11278,U009,2022-07-19,Expense,Rent,40813,UPI,Delhi,Books,2022,7,July
T10427,U077,2024-12-31,Expense,Utilities,3414,UPI,Pune,N/A,2024,12,December
T1377,U044,2022-03-31,Expense,Food,2033,UPI,Mumbai,EMI payment,2022,3,March
T2469,U038,2023-11-30,Income,Bonus,44932,Bank Transfer,Kolkata,Lunch,2023,11,November
T7679,U079,2024-05-03,Expense,Education,2274,Cash,Hyderabad,Grocery shopping,2024,5,May
T8635,U039,2023-02-28,Expense,Travel,330,Bank Transfer,Chennai,N/A,2023,2,February
T4874,U123,2024-12-30,Expense,Travel,8592,Cash,Pune,Lunch,2024,12,December
T13475,U033,2022-12-01,Income,Investment,29235,Bank Transfer,Unknown,N/A,2022,12,December
T8560,U023,2023-04-02,Expense,Health,2143,Card,Delhi,N/A,2023,4,April
T8417,U089,2022-05-17,Expense,Food,4945,Card,Ahmedabad,N/A,2022,5,May
T8379,U106,2021-10-16,Expense,Entertainment,8152,UPI,Delhi,Uber ride,2021,10,October
T13913,U006,2022-12-07,Expense,Others,7300,Bank Transfer,Pune,N/A,2022,12,December
T11359,U135,2024-06-04,Expense,Food,4603,Bank Transfer,Ahmedabad,EMI payment,2024,6,June
T5752,U112,2022-05-12,Expense,Rent,27792,Bank Transfer,Pune,Doctor consultation,2022,5,May
T11316,U053,2022-10-06,Expense,Travel,6691,Card,Hyderabad,Doctor consultation,2022,10,October
T4377,U065,2022-04-05,Expense,Rent,5935,Bank Transfer,Hyderabad,Coffee,2022,4,April
T10191,U150,2024-02-26,Expense,Travel,9750,UPI,Mumbai,ATM withdrawal,2024,2,February
T10267,U128,2021-10-19,Expense,Rent,6484,UPI,Jaipur,Fixed deposit,2021,10,October
T10019,U029,2024-02-18,Expense,Entertainment,2398,Bank Transfer,Lucknow,Medicine,2024,2,February
T1053,U081,2021-08-25,Expense,Food,498,Cash,Delhi,Coffee,2021,8,August
T7284,U114,2023-08-30,Expense,Rent,28207,Bank Transfer,Unknown,Fixed deposit,2023,8,August
T1195,U102,2023-06-08,Expense,Rent,10749,Cash,Lucknow,Uber ride,2023,6,June
T6008,U053,2023-05-21,Expense,Food,2232,Unknown,Pune,Books,2023,5,May
T11465,U149,2022-03-30,Expense,Savings,8161,Card,Bangalore,Restaurant dinner,2022,3,March
T8940,U088,2024-11-05,Expense,Unknown,3825,Cash,Bangalore,N/A,2024,11,November
T2577,U075,2022-07-13,Expense,Utilities,4923,Bank Transfer,Mumbai,N/A,2022,7,July
T1619,U053,2021-02-16,Income,Investment,74630,Bank Transfer,Ahmedabad,N/A,2021,2,February
T1405,U109,2022-12-02,Income,Freelance,14180,Cash,Mumbai,Online course,2022,12,December
T0352,U149,2024-08-11,Expense,Utilities,8479,UPI,Bangalore,Monthly rent payment,2024,8,August
T5467,U104,2023-11-05,Expense,Food,5292,Bank Transfer,Hyderabad,Gym membership,2023,11,November
T10397,U013,2022-10-20,Expense,Travel,3942,Bank Transfer,Lucknow,N/A,2022,10,October
T12923,U075,2023-09-01,Expense,Entertainment,8943,Card,Pune,Monthly rent payment,2023,9,September
T2497,U149,2022-11-22,Expense,Utilities,3159,Card,Delhi,ATM withdrawal,2022,11,November
T12309,U024,2023-12-18,Expense,Rent,12484,Card,Bangalore,N/A,2023,12,December
T6608,U081,2023-06-04,Expense,Rent,4331,Cash,Hyderabad,Train ticket,2023,6,June
T4870,U014,2024-10-04,Expense,Rent,9348,Bank Transfer,Jaipur,N/A,2024,10,October
T12187,U060,2024-06-26,Expense,Food,8174,Bank Transfer,Pune,N/A,2024,6,June
T13685,U047,2021-08-03,Income,Investment,74243,Cash,Jaipur,Shopping,2021,8,August
T6605,U124,2023-10-17,Expense,Food,8640,Cash,Jaipur,Coffee,2023,10,October
T3940,U085,2021-06-25,Expense,Food,9784,Card,Jaipur,Uber ride,2021,6,June
T12289,U001,2021-12-26,Expense,Rent,45093,Card,Pune,Electricity bill,2021,12,December
T12849,U049,2021-04-21,Expense,Food,2130,UPI,Lucknow,Restaurant dinner,2021,4,April
T6257,U036,2023-02-21,Expense,Food,4816,UPI,Pune,Lunch,2023,2,February
T3936,U039,2023-10-05,Expense,Food,2247,Card,Chennai,Uber ride,2023,10,October
T10279,U087,2021-03-13,Income,Freelance,46587,Card,Lucknow,N/A,2021,3,March
T0177,U038,2022-06-13,Expense,Others,6610,Cash,Pune,Restaurant dinner,2022,6,June
T3986,U077,2024-12-20,Expense,Travel,4692,UPI,Jaipur,Fixed deposit,2024,12,December
T3810,U004,2021-03-02,Expense,Education,5305,Bank Transfer,Chennai,Restaurant dinner,2021,3,March
T7155,U060,2022-08-14,Income,Bonus,67675,Bank Transfer,Bangalore,N/A,2022,8,August
T8163,U016,2021-03-29,Expense,Entertainment,7845,Cash,Delhi,N/A,2021,3,March
T7044,U049,2022-05-18,Expense,Entertainment,7183,Cash,Unknown,Shopping,2022,5,May
T3840,U144,2022-08-23,Expense,Utilities,6908,Card,Bangalore,N/A,2022,8,August
T3774,U020,2023-09-08,Expense,Rent,47146,Card,Delhi,N/A,2023,9,September
T3961,U111,2024-07-15,Expense,Health,5749,Cash,Pune,Internet bill,2024,7,July
T13582,U133,2021-10-26,Expense,Entertainment,5542,Card,Kolkata,Petrol,2021,10,October
T11104,U121,2022-09-14,Expense,Travel,3429,Card,Mumbai,Lunch,2022,9,September
T8714,U065,2021-06-23,Expense,Entertainment,237,Bank Transfer,Jaipur,Petrol,2021,6,June
T2709,U138,2022-08-18,Expense,Savings,8231,UPI,Chennai,Lunch,2022,8,August
T8551,U065,2024-03-20,Expense,Utilities,2288,UPI,Kolkata,N/A,2024,3,March
T10622,U030,2022-01-26,Expense,Travel,5756,Bank Transfer,Hyderabad,ATM withdrawal,2022,1,January
T8967,U125,2023-03-16,Income,Others,41720,Bank Transfer,Pune,Doctor consultation,2023,3,March
T11141,U098,2024-10-07,Expense,Rent,7335,Bank Transfer,Chennai,N/A,2024,10,October
T4430,U147,2024-10-04,Expense,Rent,287,Card,Hyderabad,Restaurant dinner,2024,10,October
T11810,U060,2021-12-30,Income,Others,57828,UPI,Ahmedabad,Shopping,2021,12,December
T10574,U061,2021-10-28,Expense,Education,9601,Unknown,Kolkata,Uber ride,2021,10,October
T9406,U131,2021-12-08,Expense,Entertainment,2186,Card,Bangalore,Online course,2021,12,December
T2288,U143,2021-06-14,Expense,Entertainment,8093,Card,Lucknow,N/A,2021,6,June
T1733,U080,2023-05-03,Expense,Travel,2272,Bank Transfer,Hyderabad,Gym membership,2023,5,May
T13220,U140,2024-02-05,Expense,Food,4549,Cash,Chennai,ATM withdrawal,2024,2,February
T9379,U106,2021-11-26,Expense,Rent,21603,Cash,Jaipur,Petrol,2021,11,November
T0617,U046,2021-01-22,Expense,Food,1641,Cash,Kolkata,N/A,2021,1,January
T13759,U109,2021-12-27,Expense,Education,7941,UPI,Chennai,N/A,2021,12,December
T4332,U089,2023-11-21,Expense,Food,4265,UPI,Hyderabad,N/A,2023,11,November
T12052,U046,2023-09-09,Expense,Savings,8634,Bank Transfer,Lucknow,Gym membership,2023,9,September
T4585,U003,2024-05-21,Expense,Entertainment,1006,UPI,Hyderabad,Medicine,2024,5,May
T0859,U132,2024-10-27,Expense,Travel,475,Bank Transfer,Delhi,N/A,2024,10,October
T5011,U129,2022-07-16,Expense,Travel,6799,Card,Bangalore,Restaurant dinner,2022,7,July
T1330,U108,2022-03-21,Expense,Rent,1564,Unknown,Unknown,Doctor consultation,2022,3,March
T7760,U089,2024-05-11,Expense,Rent,46614,Bank Transfer,Lucknow,N/A,2024,5,May
T7501,U047,2021-01-12,Expense,Food,4005,Cash,Kolkata,Monthly rent payment,2021,1,January
T5130,U075,2021-09-10,Expense,Rent,46896,UPI,Delhi,Lunch,2021,9,September
T4248,U058,2022-03-21,Income,Salary,78532,Bank Transfer,Kolkata,N/A,2022,3,March
T5305,U046,2023-01-16,Income,Bonus,178518,Bank Transfer,Pune,Shopping,2023,1,January
T6784,U022,2021-01-12,Expense,Food,8687,Unknown,Bangalore,Coffee,2021,1,January
T1468,U139,2022-12-07,Income,Freelance,57170,UPI,Delhi,Movie tickets,2022,12,December
T5253,U075,2021-08-07,Expense,Food,7235,Card,Bangalore,N/A,2021,8,August
T6241,U037,2022-07-04,Expense,Travel,9675,Cash,Mumbai,Restaurant dinner,2022,7,July
T4458,U075,2022-04-21,Expense,Food,4895,UPI,Ahmedabad,Fixed deposit,2022,4,April
T4529,U064,2024-01-31,Income,Bonus,21355,Bank Transfer,Jaipur,EMI payment,2024,1,January
T5154,U072,2024-03-11,Income,Others,13183,UPI,Chennai,Books,2024,3,March
T10901,U086,2022-07-12,Expense,Travel,9364,UPI,Delhi,EMI payment,2022,7,July
T6988,U044,2023-10-07,Expense,Rent,2824,UPI,Ahmedabad,Doctor consultation,2023,10,October
T2128,U126,2023-10-18,Expense,Health,9979,UPI,Hyderabad,Internet bill,2023,10,October
T1182,U023,2024-09-20,Expense,Health,8548,Unknown,Bangalore,ATM withdrawal,2024,9,September
T4182,U117,2023-03-03,Expense,Food,700,Bank Transfer,Pune,Gym membership,2023,3,March
T8123,U020,2023-05-15,Expense,Rent,5988,Bank Transfer,Mumbai,Movie tickets,2023,5,May
T7895,U117,2024-08-23,Expense,Utilities,6348,Card,Chennai,N/A,2024,8,August
T10792,U053,2022-07-15,Expense,Rent,44898,Cash,Chennai,Coffee,2022,7,July
T8838,U010,2023-07-16,Expense,Rent,3221,UPI,Delhi,ATM withdrawal,2023,7,July
T1044,U075,2021-05-06,Expense,Food,1810,Card,Kolkata,Internet bill,2021,5,May
T7931,U085,2021-08-12,Expense,Travel,1037,Cash,Bangalore,Electricity bill,2021,8,August
T13820,U148,2023-10-16,Expense,Utilities,6278,Bank Transfer,Hyderabad,N/A,2023,10,October
T9531,U149,2021-06-15,Expense,Utilities,999,Cash,Chennai,Fixed deposit,2021,6,June
T1003,U064,2022-11-08,Income,Investment,43737,UPI,Lucknow,Internet bill,2022,11,November
T5549,U114,2021-01-30,Expense,Rent,45894,Bank Transfer,Mumbai,Petrol,2021,1,January
T13844,U006,2024-05-29,Expense,Travel,7040,UPI,Jaipur,Uber ride,2024,5,May
